Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate,Assessment District,Taxing Body Count,Assessment Ratio,Cook County Equalization Factor,Effective Property Tax Rate,Tax Rate Proportion,ETR Share
2006,27012,42020000,Consolidated High School 200,2.905,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.302856547,0.660708552
2006,27004,990020000,Suburban Tuberculosis Sanitarium,0.005,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.000528821,0.001137192
2006,27012,40580000,School District 97,3.136,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.326939116,0.713246822
2006,27012,30920001,Village of Oak Park Library Fund,0.521,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.054316097,0.118495406
2006,27011,10010001,Consolidated Elections,0,9.918,Oak Park,16,8.4,2.7076,2.255734051,0,0
2006,27011,10010000,Cook County,0.5,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.05041339,0.1137192
2006,27010,990020000,Suburban Tuberculosis Sanitarium,0.005,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.000528821,0.001137192
2006,27010,90010000,Des Plaines Valley Mosquito Abatement Dist,0.012,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.00126917,0.002729261
2006,27010,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.284,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.030037017,0.064592506
2006,27010,50760000,Oak Park Park District,0.435,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.046007403,0.098935704
2006,27010,43020000,Triton Community College District 504,0.24,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.025383395,0.054585216
2006,27010,42020000,Consolidated High School 200,2.905,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.307244844,0.660708552
2006,27010,40580000,School District 97,3.136,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.331676362,0.713246822
2006,27010,30920502,TIF Village of Oak Park-Madison St Business Cord,0,9.455,Oak Park,17,8.4,2.7076,2.150430072,0,0
2006,27010,30920103,Village of Oak Park Special Service Area 4,0,9.455,Oak Park,17,8.4,2.7076,2.150430072,0,0
2006,27010,30920001,Village of Oak Park Library Fund,0.521,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.05510312,0.118495406
2006,27010,30920000,Village of Oak Park,1.119,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.118350079,0.25450357
2006,27010,20180004,Oak Park Mental Health District,0.087,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.009201481,0.019787141
2006,27010,20180002,General Assistance Oak Park,0.028,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.002961396,0.006368275
2006,27010,20180000,Town Oak Park,0.126,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.013326282,0.028657238
2006,27010,10020000,Forest Preserve District of Cook County,0.057,9.455,Oak Park,17,8.4,2.7076,2.150430072,0.006028556,0.012963989
2006,27011,10020000,Forest Preserve District of Cook County,0.057,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.005747126,0.012963989
2006,27012,30920105,Village of Oak Park Special Service Area 6,0.137,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.014282736,0.031159061
2006,27011,20180000,Town Oak Park,0.126,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.012704174,0.028657238
2006,27011,20180004,Oak Park Mental Health District,0.087,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.00877193,0.019787141
2006,27012,30920000,Village of Oak Park,1.119,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.116659716,0.25450357
2006,27012,20180004,Oak Park Mental Health District,0.087,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.009070058,0.019787141
2006,27012,20180002,General Assistance Oak Park,0.028,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.002919099,0.006368275
2006,27012,20180000,Town Oak Park,0.126,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.013135947,0.028657238
2006,27012,10020000,Forest Preserve District of Cook County,0.057,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.005942452,0.012963989
2006,27012,10010001,Consolidated Elections,0,9.592,Oak Park,16,8.4,2.7076,2.181589133,0,0
2006,27012,10010000,Cook County,0.5,9.592,Oak Park,16,8.4,2.7076,2.181589133,0.052126772,0.1137192
2006,27011,990020000,Suburban Tuberculosis Sanitarium,0.005,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.000504134,0.001137192
2006,27011,90010000,Des Plaines Valley Mosquito Abatement Dist,0.012,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.001209921,0.002729261
2006,27011,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.284,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.028634805,0.064592506
2006,27011,50760000,Oak Park Park District,0.435,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.043859649,0.098935704
2006,27011,43020000,Triton Community College District 504,0.24,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.024198427,0.054585216
2006,27011,42020000,Consolidated High School 200,2.905,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.292901795,0.660708552
2006,27011,40580000,School District 97,3.136,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.316192781,0.713246822
2006,27011,30920104,Village of Oak Park Special Service Area 5,0.463,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.046682799,0.105303979
2006,27011,30920001,Village of Oak Park Library Fund,0.521,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.052530752,0.118495406
2006,27011,30920000,Village of Oak Park,1.119,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.112825166,0.25450357
2006,27011,20180002,General Assistance Oak Park,0.028,9.918,Oak Park,16,8.4,2.7076,2.255734051,0.00282315,0.006368275
2006,27004,90010000,Des Plaines Valley Mosquito Abatement Dist,0.012,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.00126917,0.002729261
2006,27004,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.284,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.030037017,0.064592506
2006,27004,50760000,Oak Park Park District,0.435,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.046007403,0.098935704
2006,27003,30920000,Village of Oak Park,1.119,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.118350079,0.25450357
2006,27003,20180004,Oak Park Mental Health District,0.087,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.009201481,0.019787141
