Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate,Assessment District,Taxing Body Count,Assessment Ratio,Cook County Equalization Factor,Effective Property Tax Rate,Tax Rate Proportion,ETR Share
2009,27004,30920500,TIF Village of Oak Park-Greater Mall Area,0,8.278,Oak Park,15,10.19,3.3701,2.842774387,0,0
2009,27004,40580000,School District 97,2.655,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.320729645,0.911762019
2009,27004,42020000,Consolidated High School 200,2.469,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.298260449,0.847887166
2009,27004,43020000,Triton Community College District 504,0.214,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.025851655,0.073490423
2009,27005,43020000,Triton Community College District 504,0.214,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.023038002,0.073490423
2009,27005,42020000,Consolidated High School 200,2.469,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.265798256,0.847887166
2009,27005,40580000,School District 97,2.655,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.28582194,0.911762019
2009,27005,30920500,TIF Village of Oak Park-Greater Mall Area,0,9.289,Oak Park,16,10.19,3.3701,3.189965122,0,0
2009,27005,30920100,Village of Oak Park Special Services Area 1,1.011,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.108838411,0.347190735
2009,27005,30920001,Village of Oak Park Library Fund,0.444,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.047798471,0.152475456
2009,27005,30920000,Village of Oak Park,1.123,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.120895683,0.385653012
2009,27005,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.261,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.02809775,0.089630843
2009,27005,20180004,Oak Park Mental Health District,0.074,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.007966412,0.025412576
2009,27005,20180000,Town Oak Park,0.115,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.012380235,0.039492517
2009,27005,10020000,Forest Preserve District of Cook County,0.049,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.005275057,0.016827246
2009,27005,10010001,Consolidated Elections,0.021,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.002260739,0.007211677
2009,27005,10010000,Cook County,0.394,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.042415761,0.135304797
2009,27004,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.001328823,0.003777545
2009,27004,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.261,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.031529355,0.089630843
2009,27004,50760000,Oak Park Park District,0.424,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.051220101,0.145607193
2009,27005,20180002,General Assistance Oak Park,0.024,9.289,Oak Park,16,10.19,3.3701,3.189965122,0.002583701,0.008241917
2009,27008,30920001,Village of Oak Park Library Fund,0.444,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.053636144,0.152475456
2009,27008,30920501,TIF Village of Oak Park-Harlem Ave/Garfield Ave,0,8.278,Oak Park,15,10.19,3.3701,2.842774387,0,0
2009,27008,40580000,School District 97,2.655,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.320729645,0.911762019
2009,27012,20180000,Town Oak Park,0.115,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.013892245,0.039492517
2009,27012,10020000,Forest Preserve District of Cook County,0.049,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.005919304,0.016827246
2009,27012,10010001,Consolidated Elections,0.021,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.002536845,0.007211677
2009,27012,10010000,Cook County,0.394,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.047596038,0.135304797
2009,27011,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.001328823,0.003777545
2009,27011,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.261,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.031529355,0.089630843
2009,27011,50760000,Oak Park Park District,0.424,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.051220101,0.145607193
2009,27011,43020000,Triton Community College District 504,0.214,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.025851655,0.073490423
2009,27011,42020000,Consolidated High School 200,2.469,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.298260449,0.847887166
2009,27011,40580000,School District 97,2.655,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.320729645,0.911762019
2009,27011,30920104,Village of Oak Park Special Service Area 5,0,8.278,Oak Park,15,10.19,3.3701,2.842774387,0,0
2009,27011,30920001,Village of Oak Park Library Fund,0.444,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.053636144,0.152475456
2009,27011,30920000,Village of Oak Park,1.123,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.135660788,0.385653012
2009,27011,20180004,Oak Park Mental Health District,0.074,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.008939357,0.025412576
2009,27011,20180002,General Assistance Oak Park,0.024,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.002899251,0.008241917
2009,27012,20180002,General Assistance Oak Park,0.024,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.002899251,0.008241917
2009,27012,20180004,Oak Park Mental Health District,0.074,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.008939357,0.025412576
2009,27012,30920000,Village of Oak Park,1.123,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.135660788,0.385653012
2009,27012,30920001,Village of Oak Park Library Fund,0.444,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.053636144,0.152475456
2009,27011,20180000,Town Oak Park,0.115,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.013892245,0.039492517
2009,27012,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.001328823,0.003777545
2009,27012,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.261,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.031529355,0.089630843
2009,27012,50760000,Oak Park Park District,0.424,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.051220101,0.145607193
2009,27012,43020000,Triton Community College District 504,0.214,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.025851655,0.073490423
2009,27012,42020000,Consolidated High School 200,2.469,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.298260449,0.847887166
2009,27012,40580000,School District 97,2.655,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.320729645,0.911762019
2009,27012,30920105,Village of Oak Park Special Service Area 6,0,8.278,Oak Park,15,10.19,3.3701,2.842774387,0,0
2009,27011,10020000,Forest Preserve District of Cook County,0.049,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.005919304,0.016827246
2009,27011,10010001,Consolidated Elections,0.021,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.002536845,0.007211677
2009,27011,10010000,Cook County,0.394,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.047596038,0.135304797
2009,27009,42020000,Consolidated High School 200,2.469,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.298260449,0.847887166
2009,27009,40580000,School District 97,2.655,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.320729645,0.911762019
2009,27009,30920502,TIF Village of Oak Park-Madison St Business Cord,0,8.278,Oak Park,15,10.19,3.3701,2.842774387,0,0
2009,27009,30920001,Village of Oak Park Library Fund,0.444,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.053636144,0.152475456
2009,27009,30920000,Village of Oak Park,1.123,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.135660788,0.385653012
2009,27009,20180004,Oak Park Mental Health District,0.074,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.008939357,0.025412576
2009,27009,20180002,General Assistance Oak Park,0.024,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.002899251,0.008241917
2009,27009,43020000,Triton Community College District 504,0.214,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.025851655,0.073490423
2009,27009,20180000,Town Oak Park,0.115,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.013892245,0.039492517
2009,27009,10010001,Consolidated Elections,0.021,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.002536845,0.007211677
2009,27009,10010000,Cook County,0.394,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.047596038,0.135304797
2009,27008,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.001328823,0.003777545
2009,27008,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.261,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.031529355,0.089630843
2009,27008,50760000,Oak Park Park District,0.424,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.051220101,0.145607193
2009,27008,43020000,Triton Community College District 504,0.214,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.025851655,0.073490423
2009,27008,42020000,Consolidated High School 200,2.469,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.298260449,0.847887166
2009,27009,10020000,Forest Preserve District of Cook County,0.049,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.005919304,0.016827246
2009,27003,30920001,Village of Oak Park Library Fund,0.444,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.053636144,0.152475456
2009,27009,50760000,Oak Park Park District,0.424,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.051220101,0.145607193
2009,27009,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.001328823,0.003777545
2009,27010,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.001328823,0.003777545
2009,27010,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.261,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.031529355,0.089630843
2009,27010,50760000,Oak Park Park District,0.424,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.051220101,0.145607193
2009,27010,43020000,Triton Community College District 504,0.214,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.025851655,0.073490423
2009,27010,42020000,Consolidated High School 200,2.469,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.298260449,0.847887166
2009,27010,40580000,School District 97,2.655,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.320729645,0.911762019
2009,27010,30920502,TIF Village of Oak Park-Madison St Business Cord,0,8.278,Oak Park,16,10.19,3.3701,2.842774387,0,0
2009,27009,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.261,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.031529355,0.089630843
2009,27010,30920103,Village of Oak Park Special Service Area 4,0,8.278,Oak Park,16,10.19,3.3701,2.842774387,0,0
2009,27010,30920000,Village of Oak Park,1.123,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.135660788,0.385653012
2009,27010,20180004,Oak Park Mental Health District,0.074,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.008939357,0.025412576
2009,27010,20180002,General Assistance Oak Park,0.024,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.002899251,0.008241917
2009,27010,20180000,Town Oak Park,0.115,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.013892245,0.039492517
2009,27010,10020000,Forest Preserve District of Cook County,0.049,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.005919304,0.016827246
2009,27010,10010001,Consolidated Elections,0.021,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.002536845,0.007211677
2009,27010,10010000,Cook County,0.394,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.047596038,0.135304797
2009,27010,30920001,Village of Oak Park Library Fund,0.444,8.278,Oak Park,16,10.19,3.3701,2.842774387,0.053636144,0.152475456
2009,27003,30920000,Village of Oak Park,1.123,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.135660788,0.385653012
2009,27003,20180002,General Assistance Oak Park,0.024,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.002899251,0.008241917
2009,27001,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.261,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.031529355,0.089630843
2009,27001,50760000,Oak Park Park District,0.424,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.051220101,0.145607193
2009,27001,43020000,Triton Community College District 504,0.214,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.025851655,0.073490423
2009,27001,42020000,Consolidated High School 200,2.469,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.298260449,0.847887166
2009,27001,40580000,School District 97,2.655,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.320729645,0.911762019
2009,27001,30920001,Village of Oak Park Library Fund,0.444,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.053636144,0.152475456
2009,27001,30920000,Village of Oak Park,1.123,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.135660788,0.385653012
2009,27001,20180004,Oak Park Mental Health District,0.074,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.008939357,0.025412576
2009,27001,20180002,General Assistance Oak Park,0.024,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.002899251,0.008241917
2009,27001,20180000,Town Oak Park,0.115,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.013892245,0.039492517
2009,27001,10020000,Forest Preserve District of Cook County,0.049,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.005919304,0.016827246
2009,27001,10010001,Consolidated Elections,0.021,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.002536845,0.007211677
2009,27001,10010000,Cook County,0.394,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.047596038,0.135304797
2009,27001,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.278,Oak Park,14,10.19,3.3701,2.842774387,0.001328823,0.003777545
2009,27002,10010000,Cook County,0.394,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.042415761,0.135304797
2009,27002,10010001,Consolidated Elections,0.021,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.002260739,0.007211677
2009,27002,10020000,Forest Preserve District of Cook County,0.049,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.005275057,0.016827246
2009,27003,20180000,Town Oak Park,0.115,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.013892245,0.039492517
2009,27003,10020000,Forest Preserve District of Cook County,0.049,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.005919304,0.016827246
2009,27003,10010001,Consolidated Elections,0.021,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.002536845,0.007211677
2009,27003,10010000,Cook County,0.394,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.047596038,0.135304797
2009,27002,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.001184196,0.003777545
2009,27002,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.261,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.02809775,0.089630843
2009,27002,50760000,Oak Park Park District,0.424,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.045645387,0.145607193
2009,27002,43020000,Triton Community College District 504,0.214,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.023038002,0.073490423
2009,27002,40580000,School District 97,2.655,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.28582194,0.911762019
2009,27002,30920100,Village of Oak Park Special Services Area 1,1.011,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.108838411,0.347190735
2009,27002,30920001,Village of Oak Park Library Fund,0.444,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.047798471,0.152475456
2009,27002,30920000,Village of Oak Park,1.123,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.120895683,0.385653012
2009,27002,20180004,Oak Park Mental Health District,0.074,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.007966412,0.025412576
2009,27002,20180002,General Assistance Oak Park,0.024,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.002583701,0.008241917
2009,27002,20180000,Town Oak Park,0.115,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.012380235,0.039492517
2009,27002,42020000,Consolidated High School 200,2.469,9.289,Oak Park,15,10.19,3.3701,3.189965122,0.265798256,0.847887166
2009,27003,20180004,Oak Park Mental Health District,0.074,8.278,Oak Park,15,10.19,3.3701,2.842774387,0.008939357,0.025412576
2010,27003,40580000,School District 97,3.032,8.841,Oak Park,15,11.34,3.3,3.30847902,0.34294763,1.13463504
2010,27003,30920101,Village of Oak Park Special Service Area 2,0,8.841,Oak Park,15,11.34,3.3,3.30847902,0,0
2010,27003,30920001,Village of Oak Park Library Fund,0.451,8.841,Oak Park,15,11.34,3.3,3.30847902,0.051012329,0.16877322
2010,27003,30920000,Village of Oak Park,1.189,8.841,Oak Park,15,11.34,3.3,3.30847902,0.134487049,0.44494758
2010,27003,20180004,Oak Park Mental Health District,0.077,8.841,Oak Park,15,11.34,3.3,3.30847902,0.008709422,0.02881494
2010,27003,20180002,General Assistance Oak Park,0.024,8.841,Oak Park,15,11.34,3.3,3.30847902,0.002714625,0.00898128
2010,27003,20180000,Town Oak Park,0.119,8.841,Oak Park,15,11.34,3.3,3.30847902,0.013460016,0.04453218
2010,27003,42020000,Consolidated High School 200,2.529,8.841,Oak Park,15,11.34,3.3,3.30847902,0.286053614,0.94640238
2010,27003,10020000,Forest Preserve District of Cook County,0.051,8.841,Oak Park,15,11.34,3.3,3.30847902,0.005768578,0.01908522
2010,27003,10010000,Cook County,0.423,8.841,Oak Park,15,11.34,3.3,3.30847902,0.047845266,0.15829506
2010,27002,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,9.677,Oak Park,15,11.34,3.3,3.62132694,0.001136716,0.00411642
2010,27002,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.274,9.677,Oak Park,15,11.34,3.3,3.62132694,0.02831456,0.10253628
2010,27002,50760000,Oak Park Park District,0.436,9.677,Oak Park,15,11.34,3.3,3.62132694,0.045055286,0.16315992
2010,27002,43020000,Triton Community College District 504,0.225,9.677,Oak Park,15,11.34,3.3,3.62132694,0.023251008,0.0841995
2010,27002,42020000,Consolidated High School 200,2.529,9.677,Oak Park,15,11.34,3.3,3.62132694,0.261341325,0.94640238
2010,27002,40580000,School District 97,3.032,9.677,Oak Park,15,11.34,3.3,3.62132694,0.313320244,1.13463504
2010,27003,10010001,Consolidated Elections,0,8.841,Oak Park,15,11.34,3.3,3.30847902,0,0
2010,27002,30920100,Village of Oak Park Special Services Area 1,0.836,9.677,Oak Park,15,11.34,3.3,3.62132694,0.08639041,0.31284792
2010,27003,43020000,Triton Community College District 504,0.225,8.841,Oak Park,15,11.34,3.3,3.30847902,0.02544961,0.0841995
2010,27003,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.274,8.841,Oak Park,15,11.34,3.3,3.30847902,0.030991969,0.10253628
2010,27004,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.841,Oak Park,15,11.34,3.3,3.30847902,0.001244203,0.00411642
2010,27004,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.274,8.841,Oak Park,15,11.34,3.3,3.30847902,0.030991969,0.10253628
2010,27004,50760000,Oak Park Park District,0.436,8.841,Oak Park,15,11.34,3.3,3.30847902,0.049315688,0.16315992
2010,27004,43020000,Triton Community College District 504,0.225,8.841,Oak Park,15,11.34,3.3,3.30847902,0.02544961,0.0841995
2010,27004,42020000,Consolidated High School 200,2.529,8.841,Oak Park,15,11.34,3.3,3.30847902,0.286053614,0.94640238
2010,27004,40580000,School District 97,3.032,8.841,Oak Park,15,11.34,3.3,3.30847902,0.34294763,1.13463504
2010,27004,30920500,TIF Village of Oak Park-Greater Mall Area,0,8.841,Oak Park,15,11.34,3.3,3.30847902,0,0
2010,27003,50760000,Oak Park Park District,0.436,8.841,Oak Park,15,11.34,3.3,3.30847902,0.049315688,0.16315992
2010,27004,30920001,Village of Oak Park Library Fund,0.451,8.841,Oak Park,15,11.34,3.3,3.30847902,0.051012329,0.16877322
2010,27004,20180004,Oak Park Mental Health District,0.077,8.841,Oak Park,15,11.34,3.3,3.30847902,0.008709422,0.02881494
2010,27004,20180002,General Assistance Oak Park,0.024,8.841,Oak Park,15,11.34,3.3,3.30847902,0.002714625,0.00898128
2010,27004,20180000,Town Oak Park,0.119,8.841,Oak Park,15,11.34,3.3,3.30847902,0.013460016,0.04453218
2010,27004,10020000,Forest Preserve District of Cook County,0.051,8.841,Oak Park,15,11.34,3.3,3.30847902,0.005768578,0.01908522
2010,27004,10010001,Consolidated Elections,0,8.841,Oak Park,15,11.34,3.3,3.30847902,0,0
2010,27004,10010000,Cook County,0.423,8.841,Oak Park,15,11.34,3.3,3.30847902,0.047845266,0.15829506
2010,27003,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.841,Oak Park,15,11.34,3.3,3.30847902,0.001244203,0.00411642
2010,27004,30920000,Village of Oak Park,1.189,8.841,Oak Park,15,11.34,3.3,3.30847902,0.134487049,0.44494758
2010,27002,30920001,Village of Oak Park Library Fund,0.451,9.677,Oak Park,15,11.34,3.3,3.62132694,0.046605353,0.16877322
2010,27002,30920000,Village of Oak Park,1.189,9.677,Oak Park,15,11.34,3.3,3.62132694,0.122868658,0.44494758
2010,27002,20180004,Oak Park Mental Health District,0.077,9.677,Oak Park,15,11.34,3.3,3.62132694,0.007957011,0.02881494
2010,27001,10010000,Cook County,0.423,8.841,Oak Park,14,11.34,3.3,3.30847902,0.047845266,0.15829506
2010,27001,10010001,Consolidated Elections,0,8.841,Oak Park,14,11.34,3.3,3.30847902,0,0
2010,27002,20180002,General Assistance Oak Park,0.024,9.677,Oak Park,15,11.34,3.3,3.62132694,0.002480107,0.00898128
2010,27002,20180000,Town Oak Park,0.119,9.677,Oak Park,15,11.34,3.3,3.62132694,0.0122972,0.04453218
2010,27002,10020000,Forest Preserve District of Cook County,0.051,9.677,Oak Park,15,11.34,3.3,3.62132694,0.005270228,0.01908522
2010,27002,10010001,Consolidated Elections,0,9.677,Oak Park,15,11.34,3.3,3.62132694,0,0
2010,27002,10010000,Cook County,0.423,9.677,Oak Park,15,11.34,3.3,3.62132694,0.043711894,0.15829506
2010,27001,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.841,Oak Park,14,11.34,3.3,3.30847902,0.001244203,0.00411642
2010,27001,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.274,8.841,Oak Park,14,11.34,3.3,3.30847902,0.030991969,0.10253628
2010,27001,50760000,Oak Park Park District,0.436,8.841,Oak Park,14,11.34,3.3,3.30847902,0.049315688,0.16315992
2010,27001,43020000,Triton Community College District 504,0.225,8.841,Oak Park,14,11.34,3.3,3.30847902,0.02544961,0.0841995
2010,27001,42020000,Consolidated High School 200,2.529,8.841,Oak Park,14,11.34,3.3,3.30847902,0.286053614,0.94640238
2010,27001,40580000,School District 97,3.032,8.841,Oak Park,14,11.34,3.3,3.30847902,0.34294763,1.13463504
2010,27001,30920001,Village of Oak Park Library Fund,0.451,8.841,Oak Park,14,11.34,3.3,3.30847902,0.051012329,0.16877322
2010,27001,30920000,Village of Oak Park,1.189,8.841,Oak Park,14,11.34,3.3,3.30847902,0.134487049,0.44494758
2010,27001,20180004,Oak Park Mental Health District,0.077,8.841,Oak Park,14,11.34,3.3,3.30847902,0.008709422,0.02881494
2010,27001,20180002,General Assistance Oak Park,0.024,8.841,Oak Park,14,11.34,3.3,3.30847902,0.002714625,0.00898128
2010,27001,20180000,Town Oak Park,0.119,8.841,Oak Park,14,11.34,3.3,3.30847902,0.013460016,0.04453218
2010,27001,10020000,Forest Preserve District of Cook County,0.051,8.841,Oak Park,14,11.34,3.3,3.30847902,0.005768578,0.01908522
2010,27005,10010000,Cook County,0.423,9.677,Oak Park,16,11.34,3.3,3.62132694,0.043711894,0.15829506
2010,27005,10010001,Consolidated Elections,0,9.677,Oak Park,16,11.34,3.3,3.62132694,0,0
2010,27005,10020000,Forest Preserve District of Cook County,0.051,9.677,Oak Park,16,11.34,3.3,3.62132694,0.005270228,0.01908522
2010,27005,20180000,Town Oak Park,0.119,9.677,Oak Park,16,11.34,3.3,3.62132694,0.0122972,0.04453218
2010,27008,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.841,Oak Park,15,11.34,3.3,3.30847902,0.001244203,0.00411642
2010,27008,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.274,8.841,Oak Park,15,11.34,3.3,3.30847902,0.030991969,0.10253628
2010,27008,50760000,Oak Park Park District,0.436,8.841,Oak Park,15,11.34,3.3,3.30847902,0.049315688,0.16315992
2010,27008,43020000,Triton Community College District 504,0.225,8.841,Oak Park,15,11.34,3.3,3.30847902,0.02544961,0.0841995
2010,27008,42020000,Consolidated High School 200,2.529,8.841,Oak Park,15,11.34,3.3,3.30847902,0.286053614,0.94640238
2010,27008,40580000,School District 97,3.032,8.841,Oak Park,15,11.34,3.3,3.30847902,0.34294763,1.13463504
2010,27008,30920501,TIF Village of Oak Park-Harlem Ave/Garfield Ave,0,8.841,Oak Park,15,11.34,3.3,3.30847902,0,0
2010,27009,10010000,Cook County,0.423,8.841,Oak Park,15,11.34,3.3,3.30847902,0.047845266,0.15829506
2010,27008,30920001,Village of Oak Park Library Fund,0.451,8.841,Oak Park,15,11.34,3.3,3.30847902,0.051012329,0.16877322
2010,27008,20180004,Oak Park Mental Health District,0.077,8.841,Oak Park,15,11.34,3.3,3.30847902,0.008709422,0.02881494
2010,27008,20180002,General Assistance Oak Park,0.024,8.841,Oak Park,15,11.34,3.3,3.30847902,0.002714625,0.00898128
2010,27008,20180000,Town Oak Park,0.119,8.841,Oak Park,15,11.34,3.3,3.30847902,0.013460016,0.04453218
2010,27008,10020000,Forest Preserve District of Cook County,0.051,8.841,Oak Park,15,11.34,3.3,3.30847902,0.005768578,0.01908522
2010,27008,10010001,Consolidated Elections,0,8.841,Oak Park,15,11.34,3.3,3.30847902,0,0
2010,27008,10010000,Cook County,0.423,8.841,Oak Park,15,11.34,3.3,3.30847902,0.047845266,0.15829506
2010,27007,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.841,Oak Park,15,11.34,3.3,3.30847902,0.001244203,0.00411642
2010,27008,30920000,Village of Oak Park,1.189,8.841,Oak Park,15,11.34,3.3,3.30847902,0.134487049,0.44494758
2010,27009,10010001,Consolidated Elections,0,8.841,Oak Park,15,11.34,3.3,3.30847902,0,0
2010,27009,10020000,Forest Preserve District of Cook County,0.051,8.841,Oak Park,15,11.34,3.3,3.30847902,0.005768578,0.01908522
2010,27009,20180000,Town Oak Park,0.119,8.841,Oak Park,15,11.34,3.3,3.30847902,0.013460016,0.04453218
2010,27010,20180004,Oak Park Mental Health District,0.077,8.841,Oak Park,16,11.34,3.3,3.30847902,0.008709422,0.02881494
2010,27010,20180002,General Assistance Oak Park,0.024,8.841,Oak Park,16,11.34,3.3,3.30847902,0.002714625,0.00898128
2010,27010,20180000,Town Oak Park,0.119,8.841,Oak Park,16,11.34,3.3,3.30847902,0.013460016,0.04453218
2010,27010,10020000,Forest Preserve District of Cook County,0.051,8.841,Oak Park,16,11.34,3.3,3.30847902,0.005768578,0.01908522
2010,27010,10010001,Consolidated Elections,0,8.841,Oak Park,16,11.34,3.3,3.30847902,0,0
2010,27010,10010000,Cook County,0.423,8.841,Oak Park,16,11.34,3.3,3.30847902,0.047845266,0.15829506
2010,27009,90010000,Des Plaines Valley Mosquito Abatement Dist,0.011,8.841,Oak Park,15,11.34,3.3,3.30847902,0.001244203,0.00411642
